回車	Enter
服務端	伺服器端
伸縮性	延展性
高級的	進階的
快速起步	快速入門
構建	建構
依賴包	相依套件
私有包	私有套件
工具包	工具套件
包依賴	套件相依
包的依賴	套件相依性
包的說明	套件的說明
包裝過	封裝過
包提供	套件提供
包進行	套件進行
包替換	套件替換
包來支援	套件來支援
包組合	套件組合
捆綁包	捆綁套件
解包	解開封裝
包而	套件而
包匯出	套件匯出
包(	套件(
包'	套件'
包"	套件"
包<	套件<
包。	套件。
包，	套件，
包時，	套件時，
包中	套件中
包名稱	套件名稱
包名	套件名稱
包還可以	套件還可以
包都是	套件都是
的包被	的套件被
的包都	的套件都
包及	套件及
與包一起	與套件一起
包帶來	套件帶來
包是使用	套件是使用
包使用	套件使用
包分發	套件分發
包安裝	套件安裝
包可以	套件可以
包如何	套件如何
包和	套件和
包的	套件的
包定義	套件定義
包管理器	套件管理器
頁標籤	頁籤
教程	課程
演示	示範
生產率	生產力
通過	透過
可訪問性	可及性
質量	品質
極端要求	嚴格要求
模板	範本
依賴注入	相依性注入
構造函式	建構函式
塊級作用域	區塊作用域
克隆	複製
派生物件	衍生物件
跟蹤	追蹤
錄入	輸入
幹貨	乾貨
秘籍	秘笈
爆髮	爆發
響應體	回應內文
響應頭	回應標頭
操作符	運算子
高級用法	進階用法
柵格	網格
視口	畫面
生成	產生
導航條	導覽列
頁頭	頁首
定製	訂製
集群	叢集
動圖	動畫
構造塊	構成要素
數碼	數位
攝像	攝影
製造廠	工廠
出台	推出
欄目	節目
充電寶	行動電源
U盤	隨身碟
二維碼	QRCode
重定向	重新導向
自定義	自訂
補全	自動完成
自動自動完成	自動完成
實時	即時
引用	參考
只讀	唯讀
例項	實體
頂層	最上層
頂級	最上層
